"default" "student" "balance" "income"
"No" "Yes" 700.335171683785 15905.2126952829
"No" "No" 1095.0727352874 26464.631389229
"No" "Yes" 256.325670466206 15627.662788709
"No" "No" 1716.59541824424 51056.8682867977
"Yes" "No" 2063.57193445013 37372.7584928128
"No" "Yes" 824.616593532163 10062.5759326033
"Yes" "No" 1436.31154943473 18810.8041351982
"No" "No" 1298.00276254287 42219.9112378061
"Yes" "Yes" 1740.76830587972 18161.2440790232
"No" "No" 680.451887147092 33192.401795686
"Yes" "No" 1893.28979213479 31821.7255806098
"No" "Yes" 421.957264818512 21744.9742361818
"Yes" "No" 2038.89185057887 58606.4862432055
"No" "No" 1172.41517190972 58067.1298181025
"No" "Yes" 1697.74966709098 23295.8432768538
"Yes" "Yes" 2169.1961867561 18195.266900905
"No" "Yes" 1074.57787055668 18574.3537335753
"Yes" "Yes" 2034.67471782133 17133.9659619014
"No" "No" 626.928556799094 42139.1844588824
"Yes" "Yes" 1724.96323223373 22170.6873405632
"Yes" "No" 1434.12771574145 47311.5304210632
"Yes" "Yes" 1893.02300430521 16853.3295653838
"Yes" "No" 1673.48634915562 49310.3329074721
"No" "Yes" 1260.82817647004 22372.287502262
"Yes" "Yes" 2287.17384201509 18692.1443107782
"No" "No" 953.147356270312 29328.0391608131
"Yes" "Yes" 1737.53781487332 20974.0345941776
"No" "No" 143.102261880534 44846.9010094286
"No" "No" 1396.20751479794 39023.4817075264
"No" "No" 1162.29922732475 47513.124771207
"Yes" "No" 1815.79252000645 31632.5838611298
"No" "No" 102.258372426939 23476.7453563298
"No" "No" 1032.51300052367 42495.4626119106
"No" "No" 748.652080396294 40612.2157591974
"Yes" "No" 1567.61070445614 38785.3576829858
"Yes" "No" 1825.97059923332 39407.9170346961
"Yes" "No" 2075.32789240119 43817.4994165192
"Yes" "Yes" 1954.32168919689 17137.4737238985
"No" "Yes" 535.010596224683 13909.3915908113
"No" "No" 221.546755897456 43668.392321756
"No" "Yes" 149.15410001691 22802.8196789176
"No" "Yes" 1196.041821814 19665.8291971639
"No" "No" 41.6514375126486 47522.0236650279
"No" "Yes" 1369.40827588944 18144.3502642041
"Yes" "No" 1456.54605630224 51508.5743439271
"No" "No" 706.481931471293 48339.8789934832
"Yes" "No" 2023.73360278694 32094.6278057806
"No" "Yes" 1585.33302945842 15079.4889372439
"No" "No" 0 21809.2185090883
"No" "No" 328.778147645303 48626.356737746
"Yes" "No" 961.488850067884 27717.6149963238
"No" "Yes" 1935.82770125724 17969.7985313908
"Yes" "Yes" 1789.47747479376 17667.7822202713
"Yes" "Yes" 1492.96342101535 11054.0684385758
"Yes" "No" 1585.72940149394 52274.8601245548
"No" "No" 565.505384485186 39109.3096711426
"No" "No" 743.623145225239 37333.5741226045
"No" "No" 1077.00753980888 33071.4685262081
"No" "Yes" 1292.21086850542 23065.850975377
"No" "Yes" 905.901945054864 20285.2251283281
"No" "No" 1286.63632041227 44825.8658404379
"Yes" "Yes" 1936.06186248878 13377.8288411616
"No" "No" 1449.13570769994 40495.4721803858
"Yes" "Yes" 1475.05743781716 20210.2726246288
"Yes" "No" 2037.94335373876 43016.0721799483
"No" "No" 387.731918536029 55163.7969407479
"Yes" "No" 1797.76701894827 47068.724605617
"No" "Yes" 608.840648304347 24523.8540972795
"No" "No" 563.687202812715 41354.3501614923
"No" "No" 1184.83995305363 34527.6867960494
"No" "No" 801.639909419777 37441.7921162931
"No" "No" 4.46645782066093 45157.9096157594
"No" "No" 981.062638685672 54020.434153568
"Yes" "No" 1903.66721921081 41173.5039918827
"Yes" "No" 1114.83218093412 39776.9989569363
"No" "No" 1597.89874127005 36524.7162417731
"Yes" "No" 1456.96393044029 49054.1938883123
"Yes" "No" 1743.06470981777 22308.1257490576
